task_id,task_name,start_date,end_date,status,progress_pct,predecessors,discipline,equipment_tag
T001,Site Clearing & Grading,2026-07-02,2026-07-07,on_track,82,,Civil,
T002,Foundation Excavation,2026-07-03,2026-07-08,on_track,77,T001,Civil,
T003,Pile Driving - Data Hall A,2026-07-04,2026-07-09,on_track,17,T002,Civil,
T004,Concrete Raft Foundation,2026-07-05,2026-07-10,on_track,53,T002;T003,Civil,
T005,Underground Cable Trench,2026-07-06,2026-07-11,on_track,73,T004,Electrical,
T006,Steel Column Erection,2026-07-07,2026-07-12,on_track,83,T004;T005,Structural,
T007,Roof Steel Installation,2026-07-08,2026-07-13,on_track,75,T006,Structural,
T008,Metal Deck Laying,2026-07-09,2026-07-14,on_track,41,T007,Structural,
T009,Raised Floor Substructure,2026-07-10,2026-07-15,on_track,42,T007;T008,Civil,
T010,External Wall Cladding,2026-07-11,2026-07-16,on_track,32,T009,Architectural,
T011,HV Switchgear Room Build,2026-07-12,2026-07-17,on_track,55,T010,Electrical,EQ-HV-01
T012,LV Distribution Board Install,2026-07-13,2026-07-18,on_track,50,T010;T011,Electrical,EQ-LV-01
T013,Cable Tray Routing - Tier 1,2026-07-14,2026-07-19,on_track,85,T011;T012,Electrical,
T014,Fire Detection System Install,2026-07-15,2026-07-20,on_track,33,T012;T013,Fire Safety,EQ-FD-01
T015,UPS Room Civil Works,2026-07-16,2026-07-21,on_track,83,T014,Civil,
T016,UPS Unit Delivery & Placement,2026-07-17,2026-07-22,on_track,61,T014;T015,Electrical,EQ-UPS-01
T017,Battery Room Construction,2026-07-18,2026-07-23,on_track,32,T016,Civil,
T018,Battery Bank Installation,2026-07-19,2026-07-24,on_track,65,T016;T017,Electrical,EQ-BAT-01
T019,Generator Pad Construction,2026-07-20,2026-07-25,on_track,24,T018,Civil,
T020,Generator Set Delivery,2026-07-21,2026-07-26,on_track,46,T018;T019,Mechanical,EQ-GEN-01
T021,Generator Fuel System Install,2026-07-22,2026-07-27,on_track,37,T020,Mechanical,EQ-GEN-01
T022,Generator Exhaust System,2026-07-23,2026-07-28,on_track,41,T021,Mechanical,EQ-GEN-01
T023,Generator Electrical Hookup,2026-07-24,2026-07-29,delayed,8,T022,Electrical,EQ-GEN-01
T024,ATS Panel Installation,2026-07-25,2026-07-30,at_risk,16,T022;T023,Electrical,EQ-ATS-01
T025,Generator Load Bank Testing,2026-07-26,2026-07-31,on_track,0,T023;T024,Commissioning,EQ-GEN-01
T026,Cooling Tower Foundation,2026-07-27,2026-08-01,on_track,51,T025,Civil,
T027,Cooling Tower Assembly,2026-07-28,2026-08-02,on_track,76,T026,Mechanical,CT-01
T028,Cooling Water Piping,2026-07-29,2026-08-03,on_track,86,T026;T027,Mechanical,CT-01
T029,Chiller Unit Delivery,2026-07-30,2026-08-04,on_track,85,T027;T028,Mechanical,EQ-CH-01
T030,Chiller Installation & Hookup,2026-07-31,2026-08-05,at_risk,12,T029,Mechanical,EQ-CH-01
T031,CRAH Unit Placement,2026-08-01,2026-08-06,on_track,59,T029;T030,HVAC,EQ-CRAH-01
T032,Chilled Water Loop Commissioning,2026-08-02,2026-08-07,on_track,10,T030;T031,Commissioning,EQ-CH-01
T033,Raised Floor Tile Installation,2026-08-03,2026-08-08,on_track,76,T031;T032,Civil,
T034,Under-Floor Cable Routing,2026-08-04,2026-08-09,on_track,61,T033,Electrical,
T035,PDU Installation - Row A,2026-08-05,2026-08-10,on_track,40,T034,Electrical,EQ-PDU-01
T036,PDU Installation - Row B,2026-08-06,2026-08-11,on_track,44,T034;T035,Electrical,EQ-PDU-02
T037,Busway Installation,2026-08-07,2026-08-12,on_track,49,T035;T036,Electrical,
T038,RPP Panel Wiring,2026-08-08,2026-08-13,on_track,22,T037,Electrical,
T039,Server Rack Placement,2026-08-09,2026-08-14,on_track,74,T038,IT Infrastructure,
T040,Hot/Cold Aisle Containment,2026-08-10,2026-08-15,on_track,29,T039,HVAC,
T041,Fire Suppression Piping,2026-08-11,2026-08-16,on_track,82,T040,Fire Safety,EQ-FS-01
T042,FM-200 System Installation,2026-08-12,2026-08-17,delayed,80,T041,Fire Safety,EQ-FS-01
T043,Fire Alarm Panel Integration,2026-08-13,2026-08-18,at_risk,72,T041;T042,Fire Safety,EQ-FA-01
T044,Smoke Detection Testing,2026-08-14,2026-08-19,on_track,65,T042;T043,Commissioning,EQ-FD-01
T045,BMS Controller Installation,2026-08-15,2026-08-20,on_track,57,T044,Controls,EQ-BMS-01
T046,BMS Sensor Wiring,2026-08-16,2026-08-21,on_track,23,T044;T045,Controls,EQ-BMS-01
T047,BMS Software Configuration,2026-08-17,2026-08-22,delayed,5,T046,Controls,EQ-BMS-01
T048,SCADA Integration,2026-08-18,2026-08-23,at_risk,10,T046;T047,Controls,EQ-SCADA-01
T049,CCTV Installation,2026-08-19,2026-08-24,on_track,90,T048,Security,
T050,Access Control System,2026-08-20,2026-08-25,on_track,22,T049,Security,EQ-ACS-01
